item_id,store_id,promo_type,promo_start_date,promo_end_date,tpr_depth_pct,circular_feature
ITM-1001,STR-001,TPR,2026-03-10,2026-03-20,0.25,True
ITM-1001,STR-002,TPR,2026-03-10,2026-03-20,0.2,False
ITM-1002,STR-001,FEATURE,2026-03-14,2026-03-21,0.0,True
ITM-1005,STR-003,TPR,2026-03-12,2026-03-19,0.3,True
ITM-1014,STR-005,DISPLAY,2026-03-15,2026-03-22,0.0,True
ITM-1007,STR-001,TPR,2026-03-10,2026-03-18,0.15,False
ITM-1012,STR-007,TPR,2026-03-13,2026-03-25,0.1,True
ITM-1016,STR-006,BOTH,2026-03-14,2026-03-21,0.2,True
ITM-1009,STR-010,TPR,2026-03-01,2026-03-10,0.15,False
ITM-1010,STR-011,FEATURE,2026-02-20,2026-03-05,0.0,True
